"NEFSCMARI.2022.05.19.FPOD_6554.file0.FP3","Time.Mn","Mn","MuSec","MaxPkLinear","MaxPkExtrapolated","RawPkminus1","RawPk","RawPkplus1","MaxPkPascals","AmpReversals","PkAt","nCyc","ClkKHZ","ClkKHZpk","EndKHZ","ClkIPIrange","clstr.cFmax","clstr.cFmin","clstr.cNall","IPIbefore","IPIpreMax","IPIatMax","IPIplus1","IPIplus2","NBHFindex","BW","TrnIDn","SpN"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","20/3/2018 15:25",64459141,10892000,48,48,21,48,35,6,1,1,2,24,24,28,1,24,24,1,79,1,169,0,0,0,16,18,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","20/3/2018 15:25",64459125,10992000,80,80,54,80,79,10,1,2,3,42,42,23,0,42,42,1,256,211,96,0,0,0,12,1,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","20/3/2018 15:25",64458947,11592000,204,204,151,166,116,25,1,1,2,100,100,114,1,100,100,1,111,1,40,0,0,0,13,25,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","20/3/2018 15:25",64458876,11092000,53,53,0,53,32,6,1,1,2,49,49,51,1,49,49,1,256,1,82,0,0,0,23,16,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 06:25",64459105,26896905,120,120,0,120,80,15,1,1,3,46,46,48,0,46,46,1,256,1,83,91,0,0,22,11,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 03:11",64458911,29462565,144,144,21,136,128,18,1,0,2,41,41,41,1,41,41,1,213,213,98,77,0,0,14,8,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 03:49",64458949,1083295,280,280,0,198,0,35,0,1,1,29,29,16,1,29,29,1,256,1,140,0,0,0,31,2,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 03:39",64458939,15327075,160,160,38,144,129,20,2,2,3,105,105,82,0,105,105,1,146,46,38,0,0,1,16,2,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 06:48",64459128,7161515,84,84,0,84,84,10,0,1,2,37,37,40,1,37,37,1,256,1,109,0,0,0,18,5,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 06:39",64459119,4763160,356,356,166,217,89,44,1,1,3,127,127,129,0,127,127,1,94,1,32,31,0,1,16,6,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 04:13",64458973,40553530,61,61,55,61,51,7,1,2,3,43,43,44,0,43,43,1,256,91,96,0,0,0,12,7,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 04:02",64458962,34621225,69,69,56,69,57,8,1,2,4,43,43,44,7,43,43,1,256,107,92,103,0,0,3,3,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 03:45",64458945,18607320,308,308,82,205,106,38,1,0,1,121,121,60,1,121,121,1,67,67,33,0,0,1,19,28,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 06:39",64459119,53101025,121,121,114,121,66,15,1,2,6,98,108,129,24,98,98,1,193,56,37,52,31,1,8,66,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 02:52",64458892,52472365,190,190,71,159,73,23,1,2,3,44,44,42,0,44,44,1,256,94,86,0,0,0,19,31,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 07:14",64459154,47145165,484,512,217,249,114,64,1,2,3,133,133,75,0,133,38,6,41,64,30,0,0,1,15,57,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 06:21",64459101,179090,56,56,0,56,52,7,1,0,2,42,42,42,1,42,42,1,214,214,95,116,0,0,15,1,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 06:38",64459118,58802625,492,1035,213,251,250,129,1,1,2,95,95,85,1,95,95,1,117,1,42,0,0,0,11,27,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 02:58",64458898,34621210,44,44,0,44,26,5,1,1,2,62,62,52,1,62,62,1,256,1,65,0,0,0,23,37,"Other cet"
"NEFSCMARI 2022 05 19 FPOD_6554 file0.FP3","21/7/2022 07:09",64459149,1964170,324,324,150,209,163,40,2,5,7,113,115,121,7,113,30,12,36,34,34,35,0,10,2,3,"Other cet"
